Sr No.,Utterance,Speaker,Emotion,Sentiment,Utterance_ID
1,also I was the point person on my company?s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0
2,You must?ve had your hands full.,The Interviewer,neutral,neutral,1
3,That I did. That I did.,Chandler,neutral,neutral,2
4,So let?s talk a little bit about your duties.,The Interviewer,neutral,neutral,3
5,My duties?  All right.,Chandler,surprise,positive,4
6,"Now you?ll be heading a whole division, so you?ll have a lot of duties.",The Interviewer,neutral,neutral,5
7,I see.,Chandler,neutral,neutral,6
8,But there?ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,7
9,Good to know.,Chandler,neutral,neutral,8
10,We can go into detail,The Interviewer,neutral,neutral,9
11,No don?t I beg of you!,Chandler,fear,negative,10
12,"All right then, we?ll have a definite answer for you on Monday, but I think I can say with some confidence, you?ll fit in well here.",The Interviewer,neutral,neutral,11
13,Really?!,Chandler,surprise,positive,12
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,13
47,Hey!,Rachel,surprise,positive,0
48,Hi!,Ross,joy,positive,1
49,What are you doing here?,Rachel,surprise,positive,2
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,3
51,Oh.,Rachel,neutral,neutral,4
52,Hi.,Ross,neutral,neutral,5
53,Hi.,Rachel,neutral,neutral,6
54,How?d did it go?,Ross,neutral,neutral,7
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn?t shut up.",Rachel,joy,positive,8
56,I?m so proud of you.,Ross,joy,positive,9
57,Me too!,Rachel,joy,positive,10
58,"Listen, I?m ah, I?m sorry I?ve been so crazy and jealous and, it?s just that I like you a lot, so...",Ross,sadness,negative,11
59,I know.,Rachel,neutral,neutral,12
60,Yeah.,Ross,neutral,neutral,13
61,Yeah.,Rachel,neutral,neutral,14
97,What've you been up to?,Chandler,neutral,neutral,0
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,1
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,2
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,3
101,I know.,Ross,neutral,neutral,4
102,I'm back.,Chandler,neutral,neutral,5
103,"So, are we gonna get together or what?",Jade,neutral,neutral,6
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,7
105,"Great, I'll see you then.",Jade,neutral,neutral,8
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,10
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,11
109,Oh my god. You are pure evil.,Ross,disgust,negative,12
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,13
4750,Oh my God! How did you get back here?!,Phoebe,surprise,negative,0
4751,"Fire alarm?  Oh! Hi, officer?fireman, can-can I help you?",Phoebe,surprise,negative,1
4752,We found your fire alarm in the trash chute.,The Fireman,anger,negative,2
4753,That?s not mine.,Phoebe,neutral,neutral,3
4754,Yes it is.,The Fireman,neutral,neutral,4
4755,How do you know?,Phoebe,fear,negative,5
4756,"The next time you want to dump a fire alarm in a trash chute, don?t wrap it in a blanket that says, ""Property of Phoebe Buffay not Monica.""",The Fireman,disgust,negative,6
4757,"Okay do you?Okay, do you have a search warrant? Because the last time I checked this was still America!",Phoebe,anger,negative,7
4758,"Please reattach this, it?s against the law to disconnect them.",The Fireman,neutral,neutral,8
4759,Fine!  But please God.. tell me how to stop them from going off!,Phoebe,anger,negative,9
4760,There?s a reset button under the plastic cover.,The Fireman,neutral,neutral,10
4761,There?s a reset button?!,Phoebe,surprise,negative,11
4765,My God!,Phoebe,surprise,negative,12
4766,Why didn?t I see that!,Phoebe,surprise,negative,13
4767,"Reset button, reset button, where is there a reset button?",Phoebe,neutral,neutral,14
4768,Oh here it is!,Phoebe,joy,positive,15
4769,Oh!,Phoebe,surprise,positive,16
4770,"Ohh, God!",Phoebe,joy,positive,17
4771,Four letters: "Circle or hoop".,Ross,neutral,neutral,0
4772,"Ring dammit, ring!",Chandler,anger,negative,1
4773,Thanks.,Ross,neutral,neutral,2
4774,"Hey, you know our phone's not working?",Joey,surprise,negative,3
4775,What?!,Chandler,surprise,negative,4
4776,"I tried to call you from the coffee shop, and there was no answer.",Joey,neutral,neutral,5
4777,"I turned it off. Mother of God, I turned it off!",Chandler,anger,negative,6
4778,Just like you told her you did!  ... Just pointing out the irony.,Monica,neutral,neutral,7
4779,"Hey, so listen, I went across the street and talked to the doorman- I got the peeper's name! Can I use the phone?",Joey,anger,negative,8
4780,Nngghhh!!!!!!!,Joey,anger,negative,9
4781,"Can I use your phone?  Yeah, the number for a Sidney Marks, please.",Joey,neutral,neutral,10
4782,"""Heating device.""",Ross,neutral,neutral,11
4783,Radiator.,Phoebe,neutral,neutral,12
4784,Five letters.,Ross,neutral,neutral,13
4785,Rdtor.,Phoebe,neutral,neutral,14
4786,"Yeah, is Sidney there?  Oh, this is?  Sidney's a woman.",Joey,surprise,negative,15
4787,"Well, you'll have to wait your turn.",Receptionist,neutral,neutral,0
4788,"Well, how long do you think it'll be?",Joey,neutral,neutral,1
4789,Any minute now.,Receptionist,neutral,neutral,2
4790,"Hey, this-  Heyy...",Ross,joy,positive,0
4791,Hey.,Chandler,neutral,neutral,0
4792,Hey! Any good mail?,Joey,neutral,neutral,1
4793,"Yes, you got something from the Screen Actor?s Guild.",Chandler,neutral,neutral,2
4794,"Ooh, it?s probably a residual check, hey can you open it for me, I?m kinda?.",Joey,neutral,neutral,3
4795,"""Benefits lapsed.""",Chandler,neutral,neutral,4
4796,Hmm that?s weird. I don?t remember being in a move called benefits lapsed.,Joey,neutral,neutral,5
4797,"Okay, it?s not a check. They?re saying your health insurance expired because, you didn?t work enough last year.",Chandler,neutral,neutral,6
4798,Let me see that!,Joey,surprise,negative,7
4799,All right.,Chandler,neutral,neutral,8
4800,"Oh, I can?t believe this!",Joey,surprise,negative,9
4801,This sucks!,Joey,anger,negative,10
4802,"When I had insurance I could get hit by a bus or catch on fire, y?know?",Joey,fear,negative,11
4803,And it wouldn?t matter.,Joey,anger,negative,12
4804,Now I gotta be careful?,Joey,anger,negative,13
4806,"I?m sorry man, there?s never a good time to  stop catching on fire.",Chandler,sadness,negative,14
4807,"All right well, I guess I gotta go get a job. I?m gonna go see my agent.",Joey,sadness,negative,15
4808,"Okay, make sure you look both ways before you cross the street.",Chandler,neutral,neutral,16
4809,look both ways before you cross the street.,Joey,joy,positive,17
4810,I can't believe Phoebe's gonna have her babies!,Monica,surprise,positive,0
4811,"I know, it's beautiful. Amazing.",Chandler,joy,positive,0
4813,"I had to kiss Phoebe and Rachel every time I left a room, I mean it's too bad they didn't see us having sex.",Chandler,neutral,neutral,1
4814,Do you know anything about women?,Monica,neutral,neutral,2
4815,No.,Chandler,neutral,neutral,3
4816,That's all right.,Monica,neutral,neutral,4
4817,Okay.,Chandler,neutral,neutral,5
4818,Remember when we went to Central Park and rented boats?.. That was fun.,Rachel,joy,positive,0
4819,Yeah. He could row like a viking.,Ross,joy,positive,1
4820,Hi.,Monica,neutral,neutral,2
4821,Mmm.,All,neutral,neutral,3
4822,So how'd it go?,Ross,neutral,neutral,4
4823,"Oh, y'know..",Monica,neutral,neutral,0
4824,Did he mention us?,Phoebe,neutral,neutral,0
4825,He said he's really gonna miss you guys.,Monica,sadness,negative,1
4826,"You had a rough day, huh.. c'mere.",Ross,sadness,negative,2
4827,...love you.,Monica,joy,positive,0
4828,Are you're hands still wet?,Ross,neutral,neutral,1
4829,"Uh, moist, yeah.",Joey,neutral,neutral,2
4830,Let's dry 'em again.,Rachel,neutral,neutral,3
4831,Oh my God! Oh my God!!,Rachel,sadness,negative,0
4832,Still crying?,Monica,surprise,positive,1
4833,Like a,Rachel,neutral,neutral,2
4834,"Y?know, I only know of two surefire ways to shut a man up. And one of them is sex.",Monica,neutral,neutral,3
4835,What?s the other one?,Rachel,neutral,neutral,4
4836,"I don?t know, I?ve never had to use the other one.",Monica,neutral,neutral,5
4837,"I?m just saying y?know, if we?re having sex, he?s not gonna be talking.",Monica,neutral,neutral,6
4838,Oh that?s right.,Rachel,joy,positive,7
4839,You?re the talker.,Rachel,neutral,neutral,8
4840,"Anyway uh, great idea!",Rachel,joy,positive,9
4841,"Umm, I gotta go to the store; I told him that I would buy him some more tissues.",Rachel,neutral,neutral,10
4842,"Oh, we have some",Monica,neutral,neutral,11
4843,No you don?t!,Rachel,anger,negative,12
4844,"Okay, yeah.  Triple A can pick us up.",Phoebe,neutral,neutral,0
4846,"Yeah, what town are we near?",Phoebe,neutral,neutral,0
4847,"Freemont. West-Westmont, ah Westburg?",Monica,neutral,neutral,1
4848,Then why are you answering? Do you at least know what route we?re on?,Phoebe,anger,negative,2
4849,"Yeah, we are definitely on Route 27.",Rachel,neutral,neutral,0
4850,"Okay.  We are at a rest stop on Route 27. Okay.  There is no Route 27.   Okay, either 93 or 76?",Phoebe,neutral,neutral,1
4851,"I don?t know, I?m sorry, I always slept in the back when we drove up here.",Rachel,sadness,negative,2
4853,"Hey, can you send somebody up and down 76 and check every rest stop, and, and also 93?",Phoebe,neutral,neutral,3
4854,Okay!,Phoebe,neutral,neutral,4
4855,"Yeah, no they don?t do that.",Phoebe,neutral,neutral,5
4856,"Ugh, okay, well somebody will come and save us.",Rachel,neutral,neutral,6
4857,Who?,Monica,anger,negative,7
4858,I mean have you seen a car come by here in the last hour and a half?,Monica,fear,negative,8
4859,"I think we should call Ross, maybe he can get a car and come pick us up.",Monica,neutral,neutral,9
4860,"No! No, I am not getting in a car with Ross, we will just have to live here!",Rachel,anger,negative,10
4861,But if...,Phoebe,fear,negative,11
4862,"No you guys, I am not getting in a car with him, you?ll have to think of something else.",Rachel,anger,negative,12
4863,"Oh good, oh Joey and Chandler are back.",Phoebe,joy,positive,13
4864,So the going for help went well?,Monica,neutral,neutral,14
4865,"I?m telling you man, I saw it.",Joey,neutral,neutral,0
4866,"Yeah, well, you?re wrong! Okay, you?re wrong.",Chandler,anger,negative,1
4867,"I?m not wrong! I wish I was. I?m sorry. Bet that barium enema doesn?t sound so bad now, huh?",Joey,sadness,negative,2
4868,I know.,Monica,neutral,neutral,0
4869,Let?s try a look?of far off?wonderment.,Monica,neutral,neutral,1
4870,"Okay, we?ll-we?ll gaze into our future and we?ll think about our marriage and the days to come.",Monica,joy,positive,2
4871,Chandler!,Monica,surprise,negative,3
4872,What is the matter with your face?!,Monica,surprise,negative,4
4873,"I mean this picture is supposed to say ""Geller and Bing to be married,"" not ""Local woman saves drowning moron!""",Monica,anger,negative,5
4874,Hey!,Monica,anger,negative,6
4875,Don?t laugh at him!,Monica,anger,negative,7
4876,He?s,Monica,neutral,neutral,8
4879,We?re gonna find love!,Rachel,joy,positive,0
4880,Definitely!,Phoebe,joy,positive,1
4881,"Yeah, I?m pretty confident about that.",Rachel,neutral,neutral,2
4882,That?s what makes it so easy for me to be 80% happy for Monica and Chandler!,Rachel,joy,positive,3
4883,It would be nice to have a little guarantee though.,Rachel,neutral,neutral,4
4884,What do you mean?,Phoebe,neutral,neutral,5
4885,"Well y?know, some people make deals with a friend, like if neither of them are married by the time they?re 40, they marry each other.",Rachel,neutral,neutral,6
4886,You mean a backup?,Phoebe,neutral,neutral,7
4887,Exactly!,Rachel,joy,positive,8
4888,"Yeah, yeah I got that.",Phoebe,neutral,neutral,9
4889,You do?,Rachel,neutral,neutral,10
4890,Hm-mmm,Phoebe,neutral,neutral,11
4891,Who?,Rachel,neutral,neutral,12
4894,Yeah!,Phoebe,joy,positive,15
4895,Are you serious?!,Rachel,surprise,negative,16
4896,"Yeah, I locked him years ago!",Phoebe,joy,positive,17
4897,"Wh? So? If neither of you are married by the time you?re 40, you?re gonna marry Joey.",Rachel,surprise,positive,18
4898,"Yep, we shook on it. Yeah but believe me that is not how he wanted to seal the deal.",Phoebe,neutral,neutral,19
4899,"Oh, seriously?",Rachel,surprise,positive,20
4900,"Yeah uh, what am I gonna do?",Joey,neutral,neutral,21
4901,"Yeah, I?m sorry man.  You wanna go watch?",Chandler,neutral,neutral,0
4902,Yeah!,Joey,joy,positive,1
4903,Good morning.,Tag,neutral,neutral,0
4904,"Hi Tag! Hey, so did you have fun with uh, with Joey last night?",Rachel,joy,positive,1
4905,Oh yeah! We went to the Knicks game.,Tag,joy,positive,2
4906,Ohh that?s nice.,Rachel,joy,positive,3
4907,Then we went to this bar and he hooked us up with all these women!,Tag,joy,positive,4
4908,Wo-women? You mean like old women?,Rachel,disgust,negative,5
4909,"Well kinda old, like 30.",Tag,neutral,neutral,6
4910,Oh.,Rachel,neutral,neutral,7
4911,"And I never used to be able to just talk to girls in bars, but I got like 20 phone numbers last night.",Tag,surprise,positive,8
4912,"That?s great! Wow man, so Joey must?ve really taught you some stuff huh?",Rachel,surprise,positive,9
4913,A little.,Tag,neutral,neutral,10
4914,Yeah?,Rachel,surprise,positive,11
4915,How you doin??,Tag,neutral,neutral,12
4916,"Phoebe, we are so proud of you! You're amazing!",Monica,joy,positive,0
4917,I know.,Phoebe,neutral,neutral,1
4918,So does it really hurt as bad as they say?,Rachel,joy,positive,2
7842,Hi!,Rachel,joy,positive,0
7843,Hey!,Joey,joy,positive,1
7844,"Joey, I gotta tell ya, I've been thinking",Rachel,neutral,neutral,2
7845,"Oh, you know, the writing was good, and the director is good,    and... and my co-star's good",Joey,joy,positive,3
7846,"God, you have to tell me what happens tomorrow!",Rachel,joy,positive,4
7847,"Ow, I'm just going over the script now! You wanna read lines with    me?",Joey,surprise,positive,5
7848,"Me? Oh, no, I am not an actress.",Rachel,disgust,negative,6
7849,"Oh, all right, I can ask Monica.",Joey,neutral,neutral,7
7850,"Oh screw her, that part is mine!",Rachel,anger,negative,8
7851,"Right...  ok, so just from the top of the page, right here.",Joey,neutral,neutral,9
7852,"Okay. . Hello Drake, I'm surprised to see you    here.",Rachel,surprise,negative,10
7853,I can't believe you married him.,Joey/Drake,surprise,negative,11
7854,But what choice did I have. He was keeping my sister    in a,Rachel/actress,anger,negative,12
7855,So what about us? Everything we feel for each other.,Joey/Drake,sadness,negative,13
7856,It's over! You,Rachel/actress,joy,positive,14
7857,How can I?,Joey/Drake,surprise,negative,15
7858,"Knowing I'll never hold you in my arms again,    or touch your skin, or feel your lips, knowing I'll never make love to you?",Joey/Drake,sadness,negative,16
7859,How can I accept that...,Joey/Drake,sadness,negative,17
7860,I can never kiss you again when it's all I can do not    to kiss you right now.,Joey/Drake,sadness,negative,18
7861,Kiss me.,Rachel,joy,positive,19
7862,What?,Joey,surprise,negative,20
7863,"Come on, you know, Thanksgiving. Ooh, you got the bigger half. What'd you wish for?",Phoebe,joy,positive,0
7864,The bigger half.,Joey,neutral,neutral,1
7865,I'd like to propose a toast.,Chandler,joy,positive,2
7866,"Little toast here, ding ding.",Chandler,joy,positive,3
7867,"I know this isn't the kind of Thanksgiving that all of you all planned, but for me, this has been really great, you know, I think because it didn't involve divorce or projectile vomiting.",Chandler,joy,positive,4
7868,"Anyway, I was just thinking, I mean, if you'd gone to Vail, and if you guys'd been with your family, if you didn't have syphilis and stuff, we wouldn't be all together, you know?",Chandler,anger,negative,5
7869,So I guess what I'm trying to say is that I'm very thankful that all of your Thanksgivings sucked.,Chandler,joy,positive,6
7870,That's so sweet.,All,joy,positive,7
7871,"And hey, here's to a lousy Christmas.",Ross,joy,positive,8
7872,And a crappy New Year.,Rachel,joy,positive,9
7873,"Here, here!",Chandler,joy,positive,10
7874,"Now, hold on!",Ross,anger,negative,0
7875,Hold on!,Ross,anger,negative,1
7876,"Look, look, your daughter and I are supposed to leave tonight for our honeymoon, now-now you-you tell her that I?m gonna be at that airport and I hope that she?ll be there too!",Ross,anger,negative,2
7877,"Oh yeah, I said Rachel?s name, but it didn?t mean anything, Okay?",Ross,anger,negative,3
7878,She?s-she?s just a friend and that?s all!,Ross,anger,negative,4
7879,That?s all!,Ross,sadness,negative,5
7880,Now just tell Emily that I love her and that I can?t imagine spending my life with anyone else.,Ross,anger,negative,6
7881,"Please, promise me that you?ll tell her that.",Ross,sadness,negative,7
7882,"All right, I?ll tell her.  Come on bugger face!",Mr. Waltham,anger,negative,8
7883,Call me.,Mrs. Waltham,neutral,neutral,9
7884,"You spend half your life in the bathroom, why don?t you ever go out the bloody window!",Mr. Waltham,anger,negative,10
7885,What happened?!!,Ross,surprise,negative,0
7886,"Well, I don?t know!!",Joey,surprise,negative,1
7887,We fell asleep! That is all.,Ross,neutral,neutral,2
7888,"Yeah. Yep. Yeah. All right, well uh, I?d better go.",Joey,neutral,neutral,3
7889,I think that would be best.,Ross,neutral,neutral,4
7890,"Yeah. All right, I?ll talk to you later.",Joey,neutral,neutral,5
7891,Okay. But not about this!,Ross,anger,negative,6
7892,No! Never! Never!  Bye.,Joey,anger,negative,7
7893,No touch! No touch!,Ross,neutral,neutral,8
7894,"Umm ma¡¯am, do you have a minute?  I kind of have some bad news. I don¡¯t think I can move to Tulsa.",Chandler,sadness,negative,0
7895,What?,Ms. McKenna,surprise,negative,1
7896,"It¡¯s a funny story, actually.",Chandler,neutral,neutral,2
7897,"I kind of fell asleep  in the meeting this morning so when I said I¡¯d move to Tulsa, I didn¡¯t really  know what I was saying.",Chandler,neutral,neutral,3
7898,You fell asleep?,Ms. McKenna,surprise,negative,4
7899,"But only because I was up all night worried about this  meeting, ain¡¯t that funny?",Chandler,fear,negative,5
7900,Irony?,Chandler,surprise,positive,6
7901,"Not a fan, alright .",Chandler,neutral,neutral,7
7902,"See, here¡¯s  the thing.",Chandler,neutral,neutral,8
7903,I went home and told my wife about Tulsa and she won¡¯t go.,Chandler,neutral,neutral,9
7904,"See, me, I  love Tulsa!",Chandler,joy,positive,10
7905,Tulsa is heaven!,Chandler,joy,positive,11
7906,Tulsa is Italy¡ªPlease don¡¯t make me go  there!,Chandler,fear,negative,12
7907,"Chandler, I¡­",Ms. McKenna,joy,positive,13
7908,No no no!,Chandler,fear,negative,14
7909,"Look, Carol, can I call you Carol?",Chandler,neutral,neutral,15
7910,Wh-why  would I when your name is Elaine?,Chandler,joy,positive,16
7911,"Oh what a great picture of your son,  strapping!",Chandler,joy,positive,17
7912,"That¡¯s a picture of your daughter, isn¡¯t it,  well she¡¯s lovely.",Chandler,joy,positive,18
7913,I like a girl with a strong jaw.,Chandler,sadness,negative,19
7914,I¡¯ll call you from Tulsa.,Chandler,neutral,neutral,20
7915,Hi.,Monica,neutral,neutral,0
7916,Hey.,Fake Monica,neutral,neutral,1
7917,How are you?,Monica,neutral,neutral,2
7918,"I'm not too bad. Fortunately, blue's my colour. How-how did you know I was here?",Fake Monica,neutral,neutral,3
7919,Because... I'm Monica Geller. It was my credit card you were using.,Monica,neutral,neutral,4
7920,That I was not expecting.,Fake Monica,surprise,negative,5
7921,"I want you to know, it wasn't me who turned you in.",Monica,neutral,neutral,6
7922,Oh. Thanks.,Fake Monica,neutral,neutral,7
7923,"No, thank you! You have given me so much! I mean, if it wasn't for you, I would never have gotten to sing",Monica,joy,positive,8
7924,"Well, actually, you only got to sing 'Memo-'.",Fake Monica,neutral,neutral,9
7925,I just can't believe you're in here.,Monica,surprise,positive,10
7926,"I mean, what am I gonna do without you?",Monica,sadness,negative,11
7927,Who's gonna crash the embassy parties with me?,Monica,sadness,negative,12
7928,Who's gonna take me to the,Monica,sadness,negative,13
7929,"Uh... Oh, Mindy, you are so stupid. Oh, we are both so stupid.",Rachel,disgust,negative,0
7930,What do you mean?,Mindy,neutral,neutral,1
7931,Smell familiar?,Rachel,neutral,neutral,2
7932,Oh no.,Mindy,fear,negative,3
7933,"Oh, I am so sorry.",Rachel,sadness,negative,4
7934,"No me, I am so sorry...",Mindy,sadness,negative,5
7935,Oh my.,Joey,surprise,positive,6
7936,"Well, there's no way I'm gonna get a shot.",Ross,fear,negative,0
7937,"Maybe they can take the needle and thquirt it into my mouth, you know, like a thquirt gun.",Ross,fear,negative,1
7938,"Doctor, can I see you for just a minute please? My brother has a slight phobia about needles.",Monica,neutral,neutral,2
7939,Did you tell him about my thquirt gun idea?,Ross,neutral,neutral,3
7940,"My brother, the PhD would like to know if there's any way to treat this orally.",Monica,neutral,neutral,4
7941,"No, under these circumstances it has to be an injection, and it has to be now.",Doctor,neutral,neutral,5
7942,Tho?,Ross,neutral,neutral,6
7943,Ohhh.,Ross,fear,negative,0
7944,"That's good, have a seat.",Monica,neutral,neutral,1
7945,"Um, the doctor says it's gotta be a needle.",Monica,neutral,neutral,0
7946,"You're just gonna have to be brave, ok?",Monica,neutral,neutral,1
7947,Can you do that for me?,Monica,neutral,neutral,2
7948,Ok.,Ross,neutral,neutral,3
7949,Ok. Oh boy. You are doin' so good. You wanna squeeze my hand?,Monica,neutral,neutral,4
7950,Yes!,Ross,fear,negative,5
7952,"All right, Ross, don't squeeze it so hard.",Monica,neutral,neutral,6
7953,"Honey, really, don't squeeze it so hard!",Monica,anger,negative,7
7955,Let go of my hand!,Monica,anger,negative,8
7956,You?re gonna love me so much. I got Sting tickets!!,Ross,joy,positive,0
7957,Oh my God! I do love you! How did you do it?!,Phoebe,joy,positive,1
7958,Well?let?s just say,Ross,neutral,neutral,2
7959,"Oo, where are the seats?",Phoebe,joy,positive,3
7960,"Uh, middle balcony.",Ross,neutral,neutral,4
7961,You?re a mean old woman.,Boy in the Cape,anger,negative,0
7962,No! Wait no! Shut up?I mean don?t cry! Let me get my checkbook!,Rachel,sadness,negative,1
7963,"Look honey, you don?t have to do this, okay?",Monica,surprise,negative,2
7964,It?s the strength you have inside that means the most to me.,Monica,joy,positive,3
7965,"You?re loyal, you?re honest, and you have integrity!",Monica,joy,positive,4
7966,That?s the kind of strength that I want in the man that I love!,Monica,joy,positive,5
7967,That means nothing to me.  Come on!,Chandler,anger,negative,6
7968,"Oh! Hey, Mr. Treeger.",Rachel,fear,negative,0
7970,: What are you doing?,Mr. Treeger,neutral,neutral,1
7971,Ummm. Oh! I?m sorry.  It?s a little old but,Rachel,joy,positive,2
7972,: No! You?re clogging up the chute that I spent a half-hour unclogging!,Mr. Treeger,anger,negative,3
7973,I?m sorry. I didn?t?I don?t come in here a lot.,Rachel,sadness,negative,4
7974,": Oh yeah, of course you don?t!",Mr. Treeger,anger,negative,5
7976,": ?Cause you?re a little princess! ""Daddy, buy me a pizza. Daddy, buy me a candy factory. Daddy, make the cast of",Mr. Treeger,disgust,negative,6
7978,": You think you could make a mess and the big man in coveralls will come in here and clean it up, huh?",Mr. Treeger,anger,negative,7
7979,"Well, why don?t think of someone else for a change?",Mr. Treeger,anger,negative,8
7980,"Okay, I?m sorry.",Rachel,sadness,negative,9
7981,Hello!,Ross,joy,positive,0
7982,What's this?,Ross,neutral,neutral,1
7983,Oh right its that girl's phone number.,Ross,neutral,neutral,2
7984,"Yeah-yeah, there it is, just a phone number a really hot girl gave me.",Ross,joy,positive,3
7985,"It's no big deal, I mean it is her home phone number, but... Whoa!",Ross,surprise,positive,4
7986,"Whoa-whoops, I almost lost this baby!",Ross,joy,positive,5
7987,"Yeah, the lovely Amanda gives me her number and I-I go and drop it.",Ross,anger,negative,6
7988,Thank you.,Phoebe,neutral,neutral,7
7989,I don?t know how any of these got opened?!,Monica,surprise,negative,0
7990,You opened them all?,Joey,surprise,negative,1
7991,"I know! I know! I am a terrible person! I mean, Chandler is never going to trust me with anything ever again!",Monica,joy,positive,2
7992,Oh hey! You got my parent?s gift!,Joey,joy,positive,3
7993,Yeah. What is that?,Monica,neutral,neutral,4
7994,"Well, I don?t know. I think it does something to salami.",Joey,sadness,negative,5
7995,Hey! How?d it go?,Monica,sadness,negative,6
7996,Yeah. What-what did Tag say?,Joey,neutral,neutral,7
7997,Tag is not the father! And Joey knows now?,Rachel,sadness,negative,8
7998,"I do Rach. I do, and I so happy for you.",Joey,joy,positive,9
7999,"Oh wow, you didn?t even try to unhook my bra!",Rachel,surprise,positive,10
8000,So are you ever gonna tell whoever it is?,Monica,neutral,neutral,11
8001,"No, I will. I?m just not up for it tonight.",Rachel,neutral,neutral,12
8002,"Hey Rach listen, no matter what this guy says I want you to know you?re not gonna be alone in this.",Joey,joy,positive,13
8003,I?m not?,Rachel,surprise,negative,14
