Sr No.,Utterance,Speaker,Emotion,Sentiment,Utterance_ID
8004,Listen I uh?  It?s a scary world out there especially if you?re a single mom.,Joey,fear,negative,15
8005,"Y?know, I always felt like you and I have this-this special bond.",Joey,neutral,neutral,16
8007,"So,  Rachel Green will you marry me?",Joey,joy,positive,17
8008,Thank you.,Rachel,neutral,neutral,0
8009,If I can?t have it you can?t have it!,Joey,anger,negative,1
8010,"I can?t believe her, y?know it?s just?it?s so typical.",Monica,disgust,negative,0
8011,"Now Monica, I know you?re upset, but don?t forget.",Chandler,neutral,neutral,1
8012,"There is going to be a wedding, you are going to throw the bouquet, and",Chandler,neutral,neutral,2
8013,Paris?,Monica,neutral,neutral,3
8014,We will take a moonlit walk on the Rue de la .,Chandler,neutral,neutral,4
8015,Keep talking.,Monica,neutral,neutral,5
8016,"Then we will sprinkle rose pedals on the bed and make love. Not just because it?s romantic, but because I can!",Chandler,joy,positive,6
8017,I love you!,Monica,joy,positive,7
8018,Yes!,Joey,joy,positive,0
8019,I win again!,Joey,joy,positive,1
8020,Ha-ha!,Joey,joy,positive,2
8021,That?s like 500 bucks you owe me!,Joey,joy,positive,3
8022,Whoo-ho-hoo!,Joey,joy,positive,4
8023,$500 that is a loooot of electricity!,Joey,joy,positive,5
8024,Whoo-ho-ho!,Joey,joy,positive,6
8025,I gotta buy some food.,Joey,neutral,neutral,7
8026,"Okay, give me a chance to win my money back. Okay? Sudden death, one goal, $1,000.",Chandler,neutral,neutral,8
8027,You serious?,Joey,surprise,positive,9
8028,Oh yes!,Chandler,anger,negative,10
8029,"Okay, get ready to owe me!",Joey,joy,positive,11
8030,Okay.,Chandler,neutral,neutral,12
8031,"Okay, here we go. Ready?",Joey,neutral,neutral,13
8032,No! No! No! No??one can beat me.,Chandler,anger,negative,14
8033,"See? Now, that?s why only the little fake men are supposed to do all the kicking.",Chandler,fear,negative,15
8034,Who is that?!,Monica,surprise,negative,0
8035,"Don?t worry, I?m brave!",Chandler,sadness,negative,1
8036,I am brave!,Chandler,fear,negative,2
8037,I?I am brave!,Chandler,fear,negative,3
8038,No-no-no-no!!,Chandler,fear,negative,4
8039,Can you tell me who is there please?,Chandler,neutral,neutral,5
8040,Hi!,Gary,joy,positive,6
8041,Hi. Do you know what time it is?,Monica,neutral,neutral,7
8042,It?s candy time! My roommate says that they taste like little drops of heaven.,Gary,joy,positive,8
8043,Oh please!  Did you hear that? Little drops of heaven.,Monica,joy,positive,9
8044,4:00 A.M.,Chandler,neutral,neutral,10
8045,"So, can I get some candy?",Gary,neutral,neutral,11
8046,"I am sorry, but some of us have to",Chandler,neutral,neutral,12
8047,"Umm, listen I am sorry, but I?ll put some out first thing in the morning.",Monica,sadness,negative,13
8048,"Well okay, I?ll swing by later. Do you live in this building?",Gary,neutral,neutral,14
8049,Um-hmm.,Monica,neutral,neutral,15
8050,Mm! Seems like I would?ve remembered you!,Gary,surprise,negative,16
8051,Mm! Night Gar?!,Chandler,neutral,neutral,17
8052,Aaron! You gotta let me go. The guy?s hammered!,Joey,joy,positive,0
8053,"I?m sorry Joey, as long as he?s here and he?s conscious we?re still shooting.",The Director,neutral,neutral,1
8054,You wouldn?t happen to have a very big fork?,Richard,neutral,neutral,2
8055,"So I uh, I just talked to the director. That?s it, we?re done for the day.",Joey,neutral,neutral,3
8056,Well have we finished the scene?,Richard,surprise,negative,4
8057,Yeah! You?you were wonderful.,Joey,joy,positive,5
8058,As were you.,Richard,neutral,neutral,6
8059,"So I got your car, it?s right outside.",Joey,neutral,neutral,7
8062,"Oh, thank you. You?re welcome.",Richard,joy,positive,8
8063,No-no-no! We gotta go! Come on!  Here we go.,Joey,fear,negative,9
8064,Is that my ass?,Richard,joy,positive,10
8065,What about these? These look the same?,Monica,neutral,neutral,0
8066,Definitely!,Phoebe,joy,positive,1
8067,Not as each other!,Monica,neutral,neutral,2
8068,"Oh, then no.",Phoebe,neutral,neutral,3
8069,Hey!,Chandler,joy,positive,4
8070,Hi!,Monica,anger,negative,5
8073,You look amazing. I'm the luckiest man in the world.,Chandler,joy,positive,8
8074,"Ohh, you're about to get a little luckier.",Monica,joy,positive,9
8075,Let me see the earrings.,Chandler,neutral,neutral,10
8076,"Oh, honey, the earrings",Monica,neutral,neutral,11
8077,They look great! Does your boyfriend have the best taste or what?,Chandler,joy,positive,12
8078,My boyfriend really does have good taste!,Monica,joy,positive,13
8079,Thanks for picking out the earrings man.,Chandler,neutral,neutral,14
8080,Mm-Hm,Ross,neutral,neutral,15
9014,I?m telling you it?s like watching Bambi learn how to walk.,Rachel,anger,negative,0
9015,You?re drunk! Mom and dad are gonna be maaaaadd! Maybe I?m a little drunk.,Ross,surprise,positive,1
9017,Hey! Are those crab cakes?  Did I not tell ya to come straight to me when more crab cakes were ready?,Joey,joy,positive,2
9018,How are you feeling?,Chandler,neutral,neutral,3
9019,You are,Monica,neutral,neutral,4
9020,I really wish that you wouldn?t.,Ross,anger,negative,5
9021,"Now all you have to do is just get through a little bit more, okay?",Chandler,neutral,neutral,6
9022,"Then we can put you in bed, okay?",Chandler,neutral,neutral,7
9023,Just smile and don?t talk to,Chandler,neutral,neutral,8
9024,Speech! Speech! Let?s hear from the birthday girl! Huh?,Phoebe,joy,positive,9
9025,Pheebs!!,Chandler,joy,positive,10
9026,Don?t you see? Everyone?s looking at me! The plan?s working! I didn?t even have to take off my top yet!,Phoebe,joy,positive,11
9027,Speech! Come on Monica!,Mrs. Geller,joy,positive,12
9028,Come on!,Ross,joy,positive,13
9029,Come on! Speech!,All,joy,positive,14
9030,"Hey Chandler, you can?t keep your hands off her for one second!",Mr. Geller,anger,negative,15
9031,"Oh-ho, I think it?s nice.",Mrs. Geller,joy,positive,16
9032,Well you have to because maybe it?s stupid.,Rachel,neutral,neutral,0
9033,Well it?s just while Monica and I were dancing to them it was?the first time I knew that?you were the woman I wanted to dance all my dances with.,Chandler,joy,positive,1
9034,Oh crap!,Monica,anger,negative,2
9035,All right.,Monica,neutral,neutral,0
9036,The super couldn?t figure out what it did.,Monica,neutral,neutral,1
9037,A $200 an hour electrician couldn?t figure out what it did.,Monica,sadness,negative,2
9038,I?ve had seven pretty serious shocks.,Monica,sadness,negative,3
9039,I officially give up.,Monica,disgust,negative,4
9040,Thank God.,Rachel,joy,positive,5
9041,"I guess Joey was right, it does nothing.",Monica,joy,positive,6
9042,See? I?m doing it. I am totally doing it.  I lost it.,Phoebe,anger,negative,7
9043,Are there no conscious men in the city for you two?,Chandler,sadness,negative,0
9044,He doesn't have anyone.,Monica,neutral,neutral,1
9045,"Yeah, we-we feel kinda responsible.",Phoebe,anger,negative,2
9046,I can't believe you said woowoo. I don't even say woowoo.,Joey,disgust,negative,3
9047,"Oh, she's coming up! She's coming up!",Rachel,joy,positive,4
9048,"Folks, when we come back we'll be talking about her new book, 'Euphoria Unbound': the always interesting Nora Tyler Bing.",Jay Leno,neutral,neutral,5
9049,You might wanna put the kids to bed for this one.,Jay Leno,neutral,neutral,6
9050,"Y'know, we don't have to watch this.",Chandler,neutral,neutral,7
9051,"No way, forget it.",Rachel,joy,positive,8
9052,"C'mon, she's your mom!",Joey,anger,negative,9
9053,Exactly.,Chandler,neutral,neutral,10
9054,"Chandler, I gotta tell you, I love your mom's books!",Rachel,joy,positive,11
9055,I love her books!,Rachel,joy,positive,12
9056,I cannot get on a plane without one!,Rachel,joy,positive,13
9057,"I mean, this is so cool!",Rachel,joy,positive,14
9058,"Yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'Mistress Bitch.'",Chandler,disgust,negative,15
9059,"C'mon, Chandler, I love your mom. I think she's a blast.",Ross,joy,positive,16
9060,Thank you.,Joey,neutral,neutral,0
9061,And a nice hot cider for Monica.,Rachel,neutral,neutral,1
9062,"Aww, thank you.  Uh Rach?",Monica,neutral,neutral,2
9063,Yeah?,Rachel,neutral,neutral,3
9064,Why does my cinamon stick have an eraser?,Monica,surprise,negative,4
9065,Oh! That's why.  I'm sorry!,Rachel,surprise,positive,5
9066,"Oh. Oh! Ma'am? Excuse me, ma'am?",Phoebe,neutral,neutral,0
9068,You can't put your cigarette out on a tree!,Phoebe,anger,negative,1
9069,"Yeah I can, it worked real well.",The Smoking Woman,neutral,neutral,2
9070,No but you shouldn't! Don't ever do that again.,Phoebe,anger,negative,3
9071,I won't!  Until I have my next cigarette.,The Smoking Woman,anger,negative,4
9072,Hold it!  N.Y.P.D! Freeze punk!,Phoebe,anger,negative,5
9073,What?!,The Smoking Woman,surprise,negative,6
9074,Yeah that's right you are so busted.  Book 'em.,Phoebe,anger,negative,7
9075,Who are you talking too?,The Smoking Woman,surprise,negative,8
9076,"Save it Red! Unless you wanna spend the night in the slammer, you apologize to the tree.",Phoebe,disgust,negative,9
9077,I am,The Smoking Woman,neutral,neutral,10
9078,You apologize to the tree right now or I am calling for backup.   Backup! Backup!!,Phoebe,anger,negative,11
9079,I-I'm sorry! Sorry.,The Smoking Woman,fear,negative,12
9080,"Okay, cancel backup! Cancel backup!",Phoebe,neutral,neutral,13
9081,Shh! Get me out of here.,Phoebe,fear,negative,0
9082,Oh.,Rachel,neutral,neutral,1
9083,Ross!,Joey,surprise,positive,2
9084,What?,Ross,neutral,neutral,3
9085,"Come here, check this out!",Joey,surprise,positive,4
9086,What? Is it the comet?,Ross,neutral,neutral,5
9087,"No! No-no. Look, there?s a bug stuck in tar right here.",Joey,surprise,positive,6
9088,"Joey come?I can?t believe?I bring you here to see the Bapstein-King comet, one of nature?s most spectacular phenomenon, and all you care about are bugs stuck in tar and-and some woman!",Ross,anger,negative,7
9089,"Y?know, there?s",Joey,neutral,neutral,8
9090,Show me where?,Ross,neutral,neutral,9
9091,Right-right up here.,Joey,neutral,neutral,10
9092,Joey where?s the pipe that was holding the door open?,Ross,neutral,neutral,11
9093,"I don?t know!   Yeah, I do.",Joey,joy,positive,12
9094,Joey!,Ross,anger,negative,13
9095,What?! All right?Hey! Don?t look at me! You?re the one who wanted to come up and look for some stupid,Joey,anger,negative,14
9096,"It?s called the Bapstein-King comet, okay?  Hey! Hey! Bapstein was a very well respected astronomer!",Ross,anger,negative,15
9097,Oh no! No! No!,Joey,surprise,negative,16
9098,Wow! This place is incredible!  Sting?s pen?that he gave to Phoebe.  Come on! Secret passageway!,Phoebe,joy,positive,0
9099,Hi!,Trudie Styler,neutral,neutral,1
9100,Hi!,Phoebe,neutral,neutral,2
9101,I?m Trudie.,Trudie Styler,neutral,neutral,3
9102,Uh-huh.,Phoebe,neutral,neutral,4
9103,You must be Ben?s mum.,Trudie Styler,neutral,neutral,5
9104,Why else would I be here?,Phoebe,neutral,neutral,6
9105,Do sit down.,Trudie Styler,neutral,neutral,7
9106,Yeah.,Rachel,neutral,neutral,8
9108,Hi.. how was the game?,Monica,neutral,neutral,0
9109,Well..,Ross,neutral,neutral,1
9110,WE WON!! Thank you! Yes!,All,joy,positive,2
9111,Fantastic! I have one question: How is that possible?,Monica,surprise,positive,3
9112,Alan.,Joey,neutral,neutral,4
9113,He was unbelievable.,Ross,joy,positive,5
9114,"He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",Ross,joy,positive,6
9115,"I mean, it-it was like, it was like he made us into a team.",Rachel,joy,positive,7
9116,"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",Chandler,joy,positive,8
9117,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,Monica,neutral,neutral,9
9118,What?,Ross,surprise,negative,10
9119,"..I dunno, a little too Alan?",Monica,neutral,neutral,11
9120,"Well, no. That's impossible. You can never be too Alan.",Rachel,joy,positive,12
9121,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",Ross,joy,positive,13
9122,I personally could have a gallon of Alan.,Chandler,joy,positive,14
9123,"Well I had a great time! Learned how to bake, ate great food, that?s the first A I?ve gotten since seventh grade,",Joey,joy,positive,0
9124,"Oh, look! Acting for Beginners! Want to feel good about yourself?",Monica,fear,negative,1
9125,What the hell!,Joey,surprise,negative,2
9126,Okay.,Monica,neutral,neutral,3
9127,"All right, let?s start with some basics. Can anybody tell me what the difference between upstage and downstage is?",The Acting Teacher,neutral,neutral,4
9128,"Yeah, this was a stupid idea.",Joey,disgust,negative,5
9129,My God!,Ross,surprise,negative,0
9130,These pants are burning up!,Ross,surprise,negative,1
9131,"Oh come on, she wants to snuggle now!",Ross,surprise,negative,2
9132,What is she trying to kill me?,Ross,anger,negative,3
9133,It's like a volcano in here!,Ross,surprise,negative,4
9134,Are you hot?,Ross,neutral,neutral,5
9135,"Okay, it must just be me then.",Ross,neutral,neutral,6
9136,"That was just the pants on the couch. Umm, hey, do you, do you mind if I use your bathroom?",Ross,neutral,neutral,7
9137,You're driving me crazy with that!,Joey,anger,negative,0
9138,"Okay, I'll stop.",Chandler,neutral,neutral,1
9139,Don?t stop! Move the bowl further away! Ross could make that shot!,Joey,anger,negative,2
9140,"Well, you suck! But at least you suck at a man's game now.",Joey,anger,negative,3
9141,You wanna play?,Chandler,neutral,neutral,4
9142,"Chandler, I can't be playing games, Ross is gonna be home soon.",Joey,neutral,neutral,5
9143,And I have to write five whole pages if I'm gonna stick to his schedule.,Joey,neutral,neutral,6
9144,"Well, so, play for the next 30 minutes and then write until he gets home.",Chandler,neutral,neutral,7
9145,"All right! But uh, listen, what do you say we crank it up a notch?",Joey,joy,positive,8
9146,I'm intrigued.,Chandler,neutral,neutral,9
9147,"All right, all we need is a little lighter fluid.",Joey,neutral,neutral,10
9148,"Okay, but be careful okay, because I wanna get our security deposit back.",Chandler,joy,positive,11
9149,"Yeah, I think we said good-bye to that when we invented hammer darts.",Joey,joy,positive,12
9150,Do you even remember which part of the wall is not spackle?,Chandler,neutral,neutral,13
9151,"Uh yeah, right here.",Joey,neutral,neutral,14
9152,"Hey, Rach. How was it with your friends?  Okay! How would you like some Tiki Death Punch?",Monica,joy,positive,0
9153,What's that?,Rachel,neutral,neutral,1
9154,"Weeeell, it's rum, and-",Monica,neutral,neutral,2
9155,I'm sure they'll be here soon.,Monica,neutral,neutral,0
9156,"Yeah, honey, they wouldn't miss this.",Rachel,neutral,neutral,1
9157,Relax. You're only at nine centimeters. And the baby's at zero station.,Joey,neutral,neutral,2
9158,You are really frightening me.,Chandler,fear,negative,3
9159,"Somebody wanna help me, tryin' to rip out my heart.  Uh, that's great.  Anybody seen a nipple?",Chandler,fear,negative,4
9160,"All right, ten centimeters, here we go.",Dr. Franzblau,neutral,neutral,5
9161,"All right, honey, time to start pushing.",Nurse,neutral,neutral,6
9162,But they're not here yet!,Carol,fear,negative,7
9163,"I'm sorry, I can't tell the baby to wait for them.",Dr. Franzblau,neutral,neutral,8
9164,"Oh, god.",Carol,fear,negative,9
9165,"Here we go. Mona umm, I think it?s time we-we had a conversation about-about where things are with us.",Ross,joy,positive,0
9166,"Yeah, I-I think I suggested that.",Mona,neutral,neutral,1
9167,"Aw, we-we are so? So umm, well I-I-I like you and I-I love umm, y?know hanging out with you.",Ross,joy,positive,2
9168,And I mean-I?m having a lot of fun.,Ross,joy,positive,3
9169,Okay.,Mona,neutral,neutral,4
9170,"I mean, there?s no point in spending time with someone if-if it?s just fun.",Ross,neutral,neutral,5
9171,"It?s gotta be, it?s gotta be going somewhere right?",Ross,joy,positive,6
9172,So where-where is it going?,Ross,neutral,neutral,7
9173,Ah!,Ross,surprise,positive,8
9174,That?s-that?s the real question.,Ross,neutral,neutral,9
9175,And-and the answer is?is it?s going somewhere?fun.,Ross,joy,positive,10
9176,"Now I-I know what you?re thinking, fun was fine for you like ten years ago y?know, but you?re-you?re not getting any younger.",Ross,neutral,neutral,11
9177,"No I mean?No not you, not you, you?you",Ross,fear,negative,12
9178,"I?m sorry, so umm, so where are we?",Mona,sadness,negative,13
9179,Y?know what?,Chandler,neutral,neutral,0
9180,I am going to take you out to dinner tonight.,Chandler,joy,positive,1
9181,I found this place that makes the greatest mozzarella sticks and jalepino poppers .,Chandler,joy,positive,2
9182,No?,Chandler,anger,negative,3
9183,Really?,Chandler,surprise,negative,4
9184,They taste so good.,Chandler,joy,positive,5
9185,Drum roll.,Phoebe,neutral,neutral,0
9186,"Okay. Okay. All right. Help! Am I a Mark, or a John?",Chandler,neutral,neutral,1
9187,"Nah, you?re not tall enough to be a Mark, but you might make a good Barney.",Joey,neutral,neutral,2
9188,"All right look, am I serious, okay? Tomorrow at 3:30 I am going down to the courthouse.",Chandler,neutral,neutral,3
9189,You?re actually going through with this?,Phoebe,surprise,negative,4
9190,"Hey, look, this name has been holding me back my entire life.",Chandler,anger,negative,5
9191,"Okay, it?s probably why kids picked on me in school, and why I never do well with women? So, as of 4 o?clock tomorrow, I?m either gonna be Mark Johnson or John Markson.",Chandler,neutral,neutral,6
9192,You got problems because of you!,Phoebe,anger,negative,7
9193,Not your name!,Phoebe,sadness,negative,8
9194,"All right, this has got to stop!",Phoebe,anger,negative,9
9195,Chandler is a great name!,Phoebe,anger,negative,10
9196,"In fact?yes,  I?m, I?m sorry.",Phoebe,sadness,negative,11
9197,"I know you really wanted me to name the baby Joey, but eh, so, I?m-I?m, I?m gonna, I?m gonna name the baby Chandler.",Phoebe,neutral,neutral,12
9198,Damn! I thought that was going to be romantic as hell!,Ross,surprise,negative,0
9199,It was.,Emily,neutral,neutral,1
9200,"Look, I just saw my best friends brains smeared across the canvas, that?s not gonna be me, not me.",Student,sadness,negative,0
9201,Wow! That was good. That was... Tweezers?,Joey,surprise,negative,1
9202,No.,Student,neutral,neutral,2
9203,Whoa. That was really good.,Joey,surprise,positive,3
9204,"Thanks, any suggestions?",Student,neutral,neutral,4
9206,You-you?you had sex with Ursula?!,Phoebe,surprise,negative,0
9207,"Uh, a little bit. She-she-she walked in and I thought she was you and I kissed her and",Eric,fear,negative,1
9208,You didn?t notice she was wearing different clothes?!,Phoebe,surprise,negative,2
9209,Well I was just so excited to see you.,Eric,sadness,negative,3
9210,Oh. Ew! Ew! Ew! Ugh! Y?know what? This is too weird.,Phoebe,disgust,negative,4
9211,No-no it?s not!,Eric,sadness,negative,5
9212,I don?t want to lose you!,Eric,fear,negative,6
9213,It?s-it?s like I was saying to Ursula when I was making love to her and I thought she was you?Yeah it is too weird.,Eric,sadness,negative,7
9214,So I guess this is it.,Phoebe,sadness,negative,8
9215,Yeah.  Maybe it?s for the best. You smell just like her.,Eric,sadness,negative,9
9216,"Yeah, so do you.",Phoebe,anger,negative,10
9217,Hey!,Phoebe,joy,positive,0
9218,Hi.,Rachel,neutral,neutral,1
9219,"So, did shopping make you feel any better about Ross?",Phoebe,neutral,neutral,2
9220,Manhattan does not have enough stores.,Rachel,sadness,negative,3
9221,"Well,",Phoebe,neutral,neutral,4
9222,You can?,Rachel,surprise,positive,5
9223,Yeah. I just need you to bring me some photos of Ross.,Phoebe,neutral,neutral,6
9224,Um-hmm.,Rachel,neutral,neutral,7
9225,And a small piece of chocolate.,Phoebe,neutral,neutral,8
10141,"Hey, y'know what a really good rainy day game is?",Joey,neutral,neutral,0
10142,What?!,Monica,neutral,neutral,1
10143,"I mean naked game. Strip poker, we should totally play strip poker.",Joey,joy,positive,2
10144,"No, no!",All,disgust,negative,3
10145,What are you crazy?!,Monica,disgust,negative,4
10146,"Come on! When you go away, you-you have to play, it?s like a law!",Joey,sadness,negative,5
10147,Allll done!,Rachel,neutral,neutral,6
10148,"Aww, thank you.",Monica,joy,positive,7
10149,"Okay, who?s next?!",Rachel,neutral,neutral,8
10150,No-o-o!  No way!,Ross,disgust,negative,9
10151,"Come on, please?! I?m boredddd! You let me do it once before.",Rachel,neutral,neutral,10
10152,"Yeah well, if ah, if that?s the rule this weekend...  No!",Ross,joy,positive,11
10153,It?s beautiful! It?s like the first bathroom floor there ever was.  Whoa! Are you going in there for?,Monica,surprise,positive,0
10154,"What, like a number?",Chandler,neutral,neutral,1
10155,Hey!,Ross,joy,positive,2
10156,Hi! Bye!,Chandler,neutral,neutral,3
10157,"Okay, I?m done with my choices, these are final.",Ross,neutral,neutral,4
10158,"Well, it?s about time.",Rachel,anger,negative,5
10159,"Ooh, very official.",Joey,neutral,neutral,6
10160,"Oh, yeah, well y'know Chandler printed it up on his computer.",Ross,neutral,neutral,7
10161,And who laminated it?,Monica,neutral,neutral,8
10162,That would be me.,Ross,neutral,neutral,9
10163,"All right let me see.  Uma Thurman, Winona Ryder, Elizabeth Hurely, Michelle Pfieffer, and Dorothy Hammel?",Rachel,neutral,neutral,10
10164,"Hey, it?s my list.",Ross,anger,negative,11
10165,"Okay honey, you do realize she only spins like that on ice.",Rachel,neutral,neutral,12
10166,"Okay, Phoebe, this Dr. Oberman. He has no strong feelings about Fonzie or any of the",Ross,neutral,neutral,0
10167,Hi! And you're going into what grade?,Phoebe,surprise,positive,1
10168,"Umm, I'm actually a first year resident, but I get that a lot, you see, I-I graduated early",Dr. Oberman,joy,positive,2
10169,"Uh-huh, me too. Ross, maybe I should've specified that I'd be needing a grown up doctor.",Phoebe,joy,positive,3
10170,"Oh no, I'm fully qualified to",Dr. Oberman,joy,positive,4
10171,Shh!,Phoebe,anger,negative,5
10172,"Doogie, shh!",Phoebe,anger,negative,6
10173,Doesn't anybody understand that I'm gonna be having babies soon?,Phoebe,surprise,negative,7
10174,Huh?,Phoebe,surprise,negative,8
10175,Go!,Phoebe,anger,negative,9
10176,"Go little boy, go!",Phoebe,anger,negative,10
10177,Oh cool! You made him cry!,Frank,joy,positive,11
10178,"Hey, there?s uh, some people outside, askin? about candy.",Ross,neutral,neutral,0
10179,"Well, they?re just gonna have to wait aren?t they? I?ve only got two hands!!",Monica,anger,negative,1
10180,Need some help?,Ross,neutral,neutral,2
10181,No! You don?t know the system! There?ll be nobody messing with the system!,Monica,anger,negative,3
10182,Your license please.,Policeman,neutral,neutral,0
10183,You don?t-you don?t want to hear about my dream Officer?Pretty?,Ross,neutral,neutral,1
10184,It?s Petty.  I?ll be right back with your ticket.,Policeman,neutral,neutral,2
10185,You have a son!,Rachel,surprise,positive,3
10186,I know. I know.,Ross,neutral,neutral,4
10187,"Uh, like, could these margaritas",Gerston,neutral,neutral,0
10188,"Hello, Mr. Bing.",Santos,neutral,neutral,1
10189,Loved your Stevie Wonder last night.,Petrie,joy,positive,2
10190,"Thanks. Listen, about the weekly numbers, I'm gonna need them on my desk",Chandler,neutral,neutral,3
10191,Sure.,Santos,neutral,neutral,4
10192,No problem.,Gerston,neutral,neutral,5
10193,"You have to give 'em something, you know.",Chandler,joy,positive,6
10194,"Okay, now that was Gerston, Santos, and who's the guy with the moustache?",Chandler,neutral,neutral,7
10195,Petrie.,Phoebe,neutral,neutral,8
10196,"Petrie, right, right. Okay, some people gonna be working",Chandler,neutral,neutral,9
10197,....right?,Ross,anger,negative,0
10198,Right?,Ross,anger,negative,1
10199,"I mean it?s pretty unbelievable y'know, I mean they just took off, took off without even looking back.",Ross,anger,negative,2
10200,"Y'know I don?t, I don?t need them, huh, I?ve got you guys now as friends, you and Susan.",Ross,anger,negative,3
10201,"Ah, Susan will be so pleased.",Carol,joy,positive,4
10202,"717?  Where?s 717?  Hey, you?ve have more of these for Susan right?",Ross,surprise,positive,5
10203,"No. But it?s okay, I?ll just put out pickles or something.",Carol,neutral,neutral,6
10204,"Ross, thank God.",Phoebe,joy,positive,7
10205,"Pheebs? What, why are you whispering?",Ross,surprise,negative,8
10206,I ate a bug.,Phoebe,disgust,negative,9
10207,"Hey Rach, the tampons here are only a penny. Let?s stock up.",Monica,joy,positive,10
10208,"Listen Ross, we ran out of gas, and we don?t know where we are, so we can?t get a tow truck.",Phoebe,fear,negative,11
10209,"Oh, now you want a favour?",Ross,joy,positive,12
10210,"Yes, please.",Phoebe,neutral,neutral,13
10211,"Well, oh, I?m sorry your car broke down Pheebs, but I?m a little too busy with some of my real friends right now, but please call to let me know you got home safely okay?",Ross,anger,negative,14
10212,"Phoebe, hang on a second.  Here, take my car, go pick up your friends.",Carol,neutral,neutral,15
10213,"No, I?m not gonna pick them up.",Ross,anger,negative,16
10214,"Listen, we both know you?re gonna do it ?cause you?re not a jerk.",Carol,neutral,neutral,17
10216,"So you can either sulk here for a half hour and then go pick them up, or save us both time and sulk in the car.",Carol,anger,negative,18
10217,"No, Rachel doesn?t want me to....",Ross,anger,negative,19
10218,"Look, I-I-I am sorry that Rachel dumped you ?cause she fell in love with that Mark guy, and you are the innocent victim in all of this, but don?t punish your friends for what Rachel did to you.",Carol,neutral,neutral,20
10219,"Yeah, you?re right.",Ross,neutral,neutral,21
10220,"God, I feel so guilty about Ross.",Monica,sadness,negative,0
